0.664476	629	0.664476	0	
0.666883	629	0.666883	0	
0.657766	629	0.657766	0	
0.666211	629	0.666211	0	
0.653816	629	0.653816	0	
0.659431	629	0.659431	0	
0.665029	629	0.665029	0	
0.659813	629	0.659813	0	
0.666951	629	0.666951	0	
0.670663	629	0.670663	0	
0.666224	629	0.666224	0	
0.658897	629	0.658897	0	
0.662708	629	0.662708	0	
0.658284	629	0.658284	0	
0.664091	629	0.664091	0	
0.655324	629	0.655324	0	
0.659746	629	0.659746	0	
0.666681	629	0.666681	0	
0.665083	629	0.665083	0	
0.656123	629	0.656123	0	
