0.449131	334	0.554203	9.83333
0.444374	334	0.545593	9.83333
0.450075	336	0.55047	11.6
0.456681	338	0.560657	9.5
0.449925	337	0.550109	10.4545
0.454937 	333	0.562885	9.91667
0.4361	327	0.554333	13.8889
0.464386	345	0.563794	9.72727
0.43223	327	0.540396	9.61538
0.443624	335	0.547701	9.75
0.442118	338	0.539808	9.5
0.446569	342	0.542035	9.16667
0.442151	332	0.54425	10.9091
0.452922	340	0.552693	9.33333
0.445961	334	0.547911	8.42857
0.436795	332	0.537419	10
0.443988	340	0.539604	8.61538
0.454067	335	0.557463	10.6364
0.454703	342	0.553442	10
0.452147	337	0.552671	10.4545
