0.294663	158	0.602017	81.6667	
0.320902	186	0.603347	72.3333	
0.396532	245	0.569803	22.5714	
0.334641	202	0.624071	201	
0.3787	226	0.641501	44.25	
0.449615	287	0.615463	14.5	
0.36396	206	0.645609	197	
0.301436	163	0.554025	60	
0.435291	293	0.558107	12.2222	
0.282259	152	0.587625	83.6667	
0.473507	297	0.63034	13.25	
0.471218	295	0.632173	21.8	
0.346235	185	0.623574	54.5	
0.288379	154	0.600537	83	
0.395749	256	0.611234	49	
0.335906	189	0.612336	214	
0.449411	249	0.637927	30.8	
0.34318	188	0.610605	107.5	
0.38834	266	0.557525	34.5	
0.390946	210	0.662673	48.25	
