0.46509	367	0.542997	7.72727	
0.470922	369	0.547489	8.4	
0.4817	379	0.551743	9.25	
0.478851	375	0.551334	7.09091	
0.481275	378	0.551285	7.5	
0.476376	379	0.545169	7.4	
0.470823	373	0.543942	8.88889	
0.470633	364	0.553339	7.33333	
0.458853	371	0.530255	8.2	
0.474564	364	0.557041	8.09091	
0.469725	376	0.540219	8.55556	
0.473974	374	0.546609	8.77778	
0.47582	363	0.560637	8.9	
0.462887	359	0.557753	10.4444	
0.465293	356	0.552208	8.72727	
0.471867	373	0.544671	8	
0.486711	378	0.558956	7.5	
0.475993	374	0.548854	7.18182	
0.489279	372	0.567863	7.36364	
0.467271	370	0.542424	8.3	
